"","desc","Var %"
"1001","Prod. agricolas","32.4338617477653"
"1002","Ani. Vivos y Prod. Pecua.","6.43607070887187"
"1003","Prod. Caza-silvi-madera","33.0042747801469"
"1004","Serv. Agri-Ganadero","110.244202719408"
"2001","Prod. Pesca-Acuicultura","2.29623788036464"
"3001","Petro-GasNatural","164.928896475732"
"3002","Serv. Apoy extracc.","85.8164806532317"
"4001","Prod. Mineral-Metal.","4.41909563054781"
"4002","Prod. Mineral-NoMetal-Carbon","56.2356971413634"
"4003","Serv. Apoyo Extr.Minera","2.70696194219791"
"5001","Carn-Menudencias-Cueros-Subp.Matanza","5.22431649464268"
"6001","Preserv. Pescado","4.55669454238032"
"7001","HarinaAceite Pescado","1.67245740818716"
"8001","Conservas de frutas","6.24907772375622"
"9001","Aceites y grasas","152.864189966748"
"10001","Lacteos","12.1113951833201"
"11001","molineria-fideos-otrasPastas","5.72280036706607"
"11002","Prod.Panaderia-Pasteleria","0.81900283513141"
"11003","Almidones-Prod.Almidon","80.2088598322278"
"12001","Azucar","79.3233740074766"
"13001","Cacao-Choc.-Confiteria","15.3370836076092"
"13002","Otrs Prod. Alimenticios","17.7280212702298"
"14001","Alimentos prep. Animales","8.15677730953997"
"15001","Malta-Cerveza","8.09133768684189"
"15002","Vino-BebAlcohol-Tabaco","59.9961308687088"
"15003","Beb.NoAlcoholicas","3.40939456852118"
"16001","MateriaTextiles Hilos e Hilados","43.0695560275665"
"16002","TejidosServicios de Textil","40.1988846250258"
"16003","OtrosProduct. Textil","56.5146184941637"
"17001","Prendas de vestir","13.0861610725775"
"18001","Cuero y productos de cuero","40.3311113968207"
"18002","Calzado","38.5577836619111"
"19001","Madera","16.6556235755453"
"19002","Prod. Madera","10.1660572528301"
"20001","Pulpa- papel y carton","671.917408381699"
"20002","Product. de papel y carton","27.8276071022491"
"21001","Product. de imprenta","30.7880297093211"
"21002","Reproducc. de grabaciones","31.3021100625145"
"22001","Petroleo refinado","38.037250531756"
"23001","Sustancias quimicas-plasticos-caucho","388.866653437611"
"23002","Abonos y compuestos de nitrogeno","1993.3614576525"
"24001","Productos de limpieza y de tocador","35.1372924978178"
"24002","Pesticidas y otros productos quimicos","135.958806566833"
"25001","Product. farmaceuticos y medicamentos","48.7076527287172"
"26001","Produc. de caucho","182.227227754721"
"26002","Produc. de plastico","50.1011805701501"
"27001","Vidrio y prod. de vidrio","106.89671044566"
"27002","Otros product. mineralesNoMetalicos","16.5687375859435"
"28001","Product. de siderurgia","316.41338938174"
"29001","MetalesPreciosos-metalesNoFerrosos","16.3633182688842"
"30001","Productos metalicos para uso estructural","72.4438503750014"
"30002","Otros productos metalicos diversos","91.6623506724226"
"31001","Productos informaticos-Electronicos-opticos","3177.58681867116"
"32001","Maquinaria y equipo electrico","185.556347161634"
"32002","Otra maquinaria y equipo","436.722852199677"
"33001","Material de transporte","364.358338657704"
"34001","Muebles","7.85972004995956"
"35001","Otros productos manufacturados diversos","28.6351413221884"
"36001","Servicio de electricidad y gas","31.8483939754608"
"36002","Serv.AguaAlcantarillado-GestionDesechosSaneamiento","70.3375149938715"
"37001","Construccion","1.63054375267622"
"38001","Servicio de comercializacion","15.1690591068546"
"38002","Manten. y rep. de vehiculosAutomotores y Motocicletas","21.1753512004671"
"39001","Transporte terrestre","16.1692679118567"
"39002","Transporte acuatico","39.1485036518106"
"39003","Transporte aereo","53.2437524429433"
"39004","Almacenamiento","19.4511479976204"
"39005","Servicios complementarios de transporte","31.0158141353603"
"39006","Correo y mensajeria","21.2095033573582"
"40001","Alojamiento","27.8936583962492"
"40002","Restaurantes","4.2377171835086"
"41001","Telecomunicaciones","12.9480752940255"
"42001","Edicion impresa y en linea","48.5933598190279"
"42002","ProduccionProyeccionDistribucion de peliculas y grab.Sonido","56.7395628816188"
"42003","Radio y television","33.038915011886"
"42004","Tec.InformaticaProcesamientoDatos","31.5433242207265"
"42005","Otros servicios de informacion","40.218910981982"
"43001","Servicios financieros","32.4377819741661"
"44001","Servicio de seguros","67.3763121706032"
"44002","Servicios de pensiones","0"
"45001","Servicio inmobiliario","29.8361190047264"
"45002","Alquiler de vivienda","0"
"46001","ServiciosProfesionalesCientificos y tecnicos","43.9780185909918"
"46002","Servicios de publicidad-Investigacion de mercados","36.7703042015816"
"47001","Alquiler de vehiculos","16.5745096583496"
"47002","Alquiler de maqui. y equipo y de mercaderias tangibles","141.028781751044"
"47003","Otro alquiler y arrendamiento","186.282722347668"
"48001","Agencias de viaje y operadores turisticos","0.340145892133936"
"49001","Agencias de empleo","39.149640446089"
"49002","Servicios de proteccion y seguridad","39.7757469689023"
"49003","LimpiezaServiciosApoyoEdificios y mantenimiento de jardines","25.0781482981849"
"49004","Otros servicios administrativos y de apoyo","40.3648261555574"
"50001","Servicios de administracion publicaDefensa y otros","0"
"51001","Educacion privada","0.70382725748066"
"51002","Educacion publica","0"
"52001","Salud privada","0"
"52002","Salud publica","0"
"53001","Serv. Social. y de asociaciones u organizaciones no mercantes","0"
"54001","Servicios de arteEntretenimientoEsparcimiento","19.5376708097276"
"54002","ReparacionComputadoras y enseres de uso personal","12.7091210617739"
"54003","Otros servicios personales","0.287972214011734"
"Total","Total","31.1762808754446"
