"","mult_prod","desc_short"
"31001",2.79739180061676,"Productos informaticos-Electronicos-opticos"
"26002",2.77850815284258,"Produc. de plastico"
"15003",2.74423695566228,"Beb.NoAlcoholicas"
"9001",2.68110106424333,"Aceites y grasas"
"13001",2.62560122337592,"Cacao-Choc.-Confiteria"
"32001",2.61458630727396,"Maquinaria y equipo electrico"
"24002",2.60039793634231,"Pesticidas y otros productos quimicos"
"22001",2.59888853475868,"Petroleo refinado"
"20001",2.58862532155973,"Pulpa- papel y carton"
"23001",2.57567168630667,"Sustancias quimicas-plasticos-caucho"
"5001",2.56551577115272,"Carn-Menudencias-Cueros-Subp.Matanza"
"14001",2.56050185801018,"Alimentos prep. Animales"
"11002",2.55550585572843,"Prod.Panaderia-Pasteleria"
"46002",2.55425999618256,"Servicios de publicidad-Investigacion de mercados"
"39003",2.55359943857084,"Transporte aereo"
"20002",2.54922537956639,"Product. de papel y carton"
"30002",2.51121097516168,"Otros productos metalicos diversos"
"10001",2.50215459874242,"Lacteos"
"44001",2.45033241279226,"Servicio de seguros"
"28001",2.41834481443915,"Product. de siderurgia"
"16001",2.41050250964381,"MateriaTextiles Hilos e Hilados"
"16002",2.40513101242402,"TejidosServicios de Textil"
"19002",2.39485398854916,"Prod. Madera"
"53001",2.38414315221854,"Serv. Social. y de asociaciones u organizaciones no mercantes"
"18001",2.38127488445903,"Cuero y productos de cuero"
"21001",2.38108019630218,"Product. de imprenta"
"13002",2.37963900995231,"Otrs Prod. Alimenticios"
"34001",2.37906616388794,"Muebles"
"7001",2.37549880326291,"HarinaAceite Pescado"
"26001",2.37007892586304,"Produc. de caucho"
"17001",2.36280615440008,"Prendas de vestir"
"23002",2.35854322602534,"Abonos y compuestos de nitrogeno"
"42002",2.35706178397109,"ProduccionProyeccionDistribucion de peliculas y grab.Sonido"
"32002",2.35289897549562,"Otra maquinaria y equipo"
"16003",2.34391970851763,"OtrosProduct. Textil"
"24001",2.33281723426163,"Productos de limpieza y de tocador"
"33001",2.32263800325429,"Material de transporte"
"30001",2.32047745175774,"Productos metalicos para uso estructural"
"25001",2.30459743212305,"Product. farmaceuticos y medicamentos"
"18002",2.29833986621357,"Calzado"
"39002",2.29504090730899,"Transporte acuatico"
"6001",2.29056713180064,"Preserv. Pescado"
"21002",2.28424077260395,"Reproducc. de grabaciones"
"8001",2.27136855906503,"Conservas de frutas"
"12001",2.26555264052833,"Azucar"
"39004",2.25062408364398,"Almacenamiento"
"1004",2.21184692628341,"Serv. Agri-Ganadero"
"15001",2.18927556802696,"Malta-Cerveza"
"42001",2.16777286902251,"Edicion impresa y en linea"
"39001",2.14716619214195,"Transporte terrestre"
"37001",2.1283067428613,"Construccion"
"15002",2.11763154092888,"Vino-BebAlcohol-Tabaco"
"27001",2.11632362401907,"Vidrio y prod. de vidrio"
"40002",2.10935036051473,"Restaurantes"
"11001",2.08271800739914,"molineria-fideos-otrasPastas"
"27002",2.07280441568752,"Otros product. mineralesNoMetalicos"
"39006",2.07271798945609,"Correo y mensajeria"
"39005",2.06069762900329,"Servicios complementarios de transporte"
"29001",2.06038422829064,"MetalesPreciosos-metalesNoFerrosos"
"35001",2.03493664335573,"Otros productos manufacturados diversos"
"11003",2.02719095659167,"Almidones-Prod.Almidon"
"42003",2.00308199028871,"Radio y television"
"40001",1.9863693225182,"Alojamiento"
"38002",1.97299818880216,"Manten. y rep. de vehiculosAutomotores y Motocicletas"
"41001",1.94098846881522,"Telecomunicaciones"
"2001",1.92606989182184,"Prod. Pesca-Acuicultura"
"36001",1.89079060521558,"Servicio de electricidad y gas"
"19001",1.86120630546262,"Madera"
"52001",1.85957252765921,"Salud privada"
"3002",1.85407271243608,"Serv. Apoy extracc."
"47001",1.83134084103072,"Alquiler de vehiculos"
"54002",1.82158519728835,"ReparacionComputadoras y enseres de uso personal"
"54001",1.81096535148983,"Servicios de arteEntretenimientoEsparcimiento"
"49004",1.78828097256667,"Otros servicios administrativos y de apoyo"
"36002",1.77307606613542,"Serv.AguaAlcantarillado-GestionDesechosSaneamiento"
"1002",1.7561499189407,"Ani. Vivos y Prod. Pecua."
"46001",1.74461015965517,"ServiciosProfesionalesCientificos y tecnicos"
"47002",1.73619635379561,"Alquiler de maqui. y equipo y de mercaderias tangibles"
"50001",1.72794821972187,"Servicios de administracion publicaDefensa y otros"
"49003",1.70750297933777,"LimpiezaServiciosApoyoEdificios y mantenimiento de jardines"
"42004",1.70110155879898,"Tec.InformaticaProcesamientoDatos"
"3001",1.70093563252758,"Petro-GasNatural"
"38001",1.6813482670114,"Servicio de comercializacion"
"47003",1.66366708779403,"Otro alquiler y arrendamiento"
"49002",1.64533654728473,"Servicios de proteccion y seguridad"
"48001",1.64048698572755,"Agencias de viaje y operadores turisticos"
"49001",1.61756059433251,"Agencias de empleo"
"45001",1.58819803695905,"Servicio inmobiliario"
"4001",1.56364146320478,"Prod. Mineral-Metal."
"51001",1.55122393832969,"Educacion privada"
"44002",1.54219598217901,"Servicios de pensiones"
"43001",1.50211714472364,"Servicios financieros"
"52002",1.47032608219505,"Salud publica"
"4002",1.46847478590208,"Prod. Mineral-NoMetal-Carbon"
"54003",1.43794165614596,"Otros servicios personales"
"4003",1.39671226228387,"Serv. Apoyo Extr.Minera"
"42005",1.39391725500053,"Otros servicios de informacion"
"1001",1.38260114444334,"Prod. agricolas"
"1003",1.30052535446622,"Prod. Caza-silvi-madera"
"45002",1.13229108222468,"Alquiler de vivienda"
"51002",1.1189499010834,"Educacion publica"
