cod;desc;desc_short
1001;Productos agricolas;Prod. agricolas
1002;Animales vivos y productos pecuarios;Ani. Vivos y Prod. Pecua.
1003;Productos de la caza- silvicultura y madera;Prod. Caza-silvi-madera
1004;Servicios agricolas y ganaderos;Serv. Agri-Ganadero
2001;Productos de la pesca y acuicultura;Prod. Pesca-Acuicultura
3001;Petroleo crudo- gas natural y servicios conexos;Petro-GasNatural
3002;Servicios de apoyo a la extraccion de hidrocarburos;Serv. Apoy extracc.
4001;Productos minerales metalicos;Prod. Mineral-Metal.
4002;Productos minerales no metalicos y carbon;Prod. Mineral-NoMetal-Carbon
4003;Servicios de apoyo a la extraccion minera;Serv. Apoyo Extr.Minera
5001;Carnes- menudencias- cueros y subproductos de la matanza;Carn-Menudencias-Cueros-Subp.Matanza
6001;Preservacion de pescado;Preserv. Pescado
7001;Harina y aceite de pescado;HarinaAceite Pescado
8001;Conservas de frutas y vegetales;Conservas de frutas
9001;Aceites y grasas de origen vegetal y animal;Aceites y grasas
10001;Productos lacteos;Lacteos
11001;Productos de molineria- fideos y otras pastas;molineria-fideos-otrasPastas
11002;Productos de panaderia y pasteleria;Prod.Panaderia-Pasteleria
11003;Almidones y productos de almidon;Almidones-Prod.Almidon
12001;Azucar;Azucar
13001;Cacao- chocolate y confiteria;Cacao-Choc.-Confiteria
13002;Otros productos alimenticios;Otrs Prod. Alimenticios
14001;Alimentos preparados para animales;Alimentos prep. Animales
15001;Malta y cerveza;Malta-Cerveza
15002;Vinos- otras bebidas alcoholicas y tabaco;Vino-BebAlcohol-Tabaco
15003;Bebidas no alcoholicas;Beb.NoAlcoholicas
16001;Materiales textiles preparados- hilos e hilados;MateriaTextiles Hilos e Hilados
16002;Tejidos y servicios de acabado textil;TejidosServicios de Textil
16003;Otros productos textiles;OtrosProduct. Textil
17001;Prendas de vestir;Prendas de vestir
18001;Cuero y productos de cuero;Cuero y productos de cuero
18002;Calzado;Calzado
19001;Madera;Madera
19002;Productos de madera;Prod. Madera
20001;Pulpa- papel y carton;Pulpa- papel y carton
20002;Productos de papel y carton;Product. de papel y carton
