;P204_NOM;sumVE;sumCO;n
1;ALGODON;8100;0;2
2;ARROZ CASCARA;847004;6890;94
3;ARVEJA GRANO VERDE;5840;0;2
4;CAMOTE;0;60;1
5;CAÑA DE AZUCAR PARA AZUCAR;49500;0;1
6;CAÑA DE AZUCAR PARA FRUTA;0;30;1
7;CIRUELA AGRIA;153;170;9
8;COCOTERO;0;10;2
9;FRIJOL BAYO GRANO SECO;1800;200;1
10;FRIJOL BAYO GRANO VERDE;1125;375;1
11;FRIJOL DE PALO GRANO SECO;0;2;1
12;FRIJOL DE PALO GRANO VERDE;0;2;1
13;GARBANZO GRANO SECO;2175;200;2
14;GARBANZO GRANO VERDE;2061;189;1
15;GUANABANO;108;45;4
16;HIGUERA;0;38;1
17;LIMON ACIDO;0;42;1
18;MAIZ AMARILLO DURO;0;0;2
19;MAIZ AMILACEO;780;510;6
20;MAIZ CHALA;0;0;5
21;MAIZ CHOCLO;2520;240;3
22;MANGO;0;1292;18
23;MARACUYA;0;23;1
24;PACAE;0;884;19
25;PALLAR GRANO VERDE;4230;0;2
26;PALTO;0;20;1
27;PASTO GRAMALOTE;0;0;1
28;PLATANO;0;2360;21
29;TAMARINDO;0;75;3
30;ZARANDAJA GRANO SECO;2610;90;1
31;ZARANDAJA GRANO VERDE;2642;462;5
